,id,name,place_type,address,transport,accesible_category,wheelchair_accesibility_level,movement_accesibility_level,eye_accesibility_level,ear_accesibility_level,mental_accesibility_level,link,lat,lon
460,108,"ГБУЗ ""Михайловская ЦРБ""",поликлиника,"г. Михайловка, ул. Некрасова, 1б (поликлиника)",х,"взрослые трудоспособного возраста, пожилые",0,1,1,0,0,https://zhit-vmeste.ru/map/,50.0786042,43.2316404
461,109,"ГБУЗ ""ЦРБ Ольховского муниципального района""",больница,"с. Ольховка, ул. Ленинская, 39",х,все возрастные категории,1,1,1,1,1,https://zhit-vmeste.ru/map/,45.0239852,133.3740074
462,110,"ГБУЗ ""Светлоярская ЦРБ""",больница,"р.п. Светлый Яр, ул. Мелиоративная, 6",х,все возрастные категории,1,1,2,1,1,https://zhit-vmeste.ru/map/,48.4663877,44.7902622
463,111,"ГБУЗ ""Чернышковская ЦРБ""",больница,"р.п. Чернышковский, ул. Восточная, 36",х,все возрастные категории,1,0,0,1,0,https://zhit-vmeste.ru/map/,48.42726560000001,42.2178657
464,112,"ГБУЗ ""Михайловская ЦРБ""",больница,"г. Михайловка, ул. Пирогова, д. 79а",х,"взрослые трудоспособного возраста, пожилые",0,0,1,0,2,https://zhit-vmeste.ru/map/,50.05989520000001,43.2339287
465,113,"ГБУЗ ""Городищенская ЦРБ""",поликлиника,"пгт Городище, ул. Маршала Чуйкова, д. 1 (Поликлиника № 3)",х,"взрослые трудоспособного возраста, пожилые",1,1,1,1,1,https://zhit-vmeste.ru/map/,48.8065702,44.4762552
466,114,"ГБУЗ ""Городищенская ЦРБ""",поликлиника,"пгт Городище, ул. Маршала Чуйкова, д. 11 (Поликлиника № 4)",х,"взрослые трудоспособного возраста, пожилые",1,1,1,1,1,https://zhit-vmeste.ru/map/,48.808166,44.4758276
467,115,"ГБУЗ г. Камышина ""Городская больница № 1""",больница,"г. Камышин, ул. Пролетарская, 115 (хирургический корпус)",х,"взрослые трудоспособного возраста, пожилые",2,2,2,2,2,https://zhit-vmeste.ru/map/,50.07306740000001,45.3964434
468,116,"ГБУЗ г. Камышина ""Городская больница № 1""",больница,"с. Антиповка, Камышинский р-он, ул. Дружбы, д. 89",х,"взрослые трудоспособного возраста, пожилые",2,2,2,2,2,https://zhit-vmeste.ru/map/,49.8259441,45.3034883
469,117,"ГБУЗ ""Иловлинская ЦРБ"" ",больница,"Волгоградская область, р.п. Иловля Больничный городок 2 а",х,все возрастные категории,1,1,1,1,1,https://zhit-vmeste.ru/map/,49.3066028,43.9805394
